operation,person,type,FO,region,amount,month
Внесение,ФЛ,Нерезидент,ДФО,Амурская область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Амурская область,,Январь
Внесение,ФЛ,Резидент,ДФО,Амурская область,74569,Январь
Выдача,ФЛ,Резидент,ДФО,Амурская область,441181,Январь
Внесение,ЮЛ,Резидент,ДФО,Амурская область,57450,Январь
Выдача,ЮЛ,Резидент,ДФО,Амурская область,423556,Январь
Внесение,ФЛ,Нерезидент,ДФО,Еврейская автономная область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Еврейская автономная область,,Январь
Внесение,ФЛ,Резидент,ДФО,Еврейская автономная область,76658,Январь
Выдача,ФЛ,Резидент,ДФО,Еврейская автономная область,856636,Январь
Внесение,ЮЛ,Резидент,ДФО,Еврейская автономная область,90299,Январь
Выдача,ЮЛ,Резидент,ДФО,Еврейская автономная область,71035,Январь
Внесение,ФЛ,Нерезидент,ДФО,Камчатский край,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Камчатский край,220964,Январь
Внесение,ФЛ,Резидент,ДФО,Камчатский край,14992,Январь
Выдача,ФЛ,Резидент,ДФО,Камчатский край,501868,Январь
Внесение,ЮЛ,Резидент,ДФО,Камчатский край,52397,Январь
Выдача,ЮЛ,Резидент,ДФО,Камчатский край,441411,Январь
Внесение,ФЛ,Нерезидент,ДФО,Магаданская область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Магаданская область,,Январь
Внесение,ФЛ,Резидент,ДФО,Магаданская область,47003,Январь
Выдача,ФЛ,Резидент,ДФО,Магаданская область,133691,Январь
Внесение,ЮЛ,Резидент,ДФО,Магаданская область,95295,Январь
Выдача,ЮЛ,Резидент,ДФО,Магаданская область,249765,Январь
Внесение,ФЛ,Нерезидент,ДФО,Приморский край,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Приморский край,,Январь
Внесение,ФЛ,Резидент,ДФО,Приморский край,7587,Январь
Выдача,ФЛ,Резидент,ДФО,Приморский край,940787,Январь
Внесение,ЮЛ,Резидент,ДФО,Приморский край,21452,Январь
Выдача,ЮЛ,Резидент,ДФО,Приморский край,167289,Январь
Внесение,ФЛ,Нерезидент,ДФО,Республика Саха (Якутия),,Январь
Выдача,ФЛ,Нерезидент,ДФО,Республика Саха (Якутия),,Январь
Внесение,ФЛ,Резидент,ДФО,Республика Саха (Якутия),61240,Январь
Выдача,ФЛ,Резидент,ДФО,Республика Саха (Якутия),708500,Январь
Внесение,ЮЛ,Резидент,ДФО,Республика Саха (Якутия),40819,Январь
Выдача,ЮЛ,Резидент,ДФО,Республика Саха (Якутия),422613,Январь
Внесение,ФЛ,Нерезидент,ДФО,Сахалинская область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Сахалинская область,,Январь
Внесение,ФЛ,Резидент,ДФО,Сахалинская область,1743,Январь
Выдача,ФЛ,Резидент,ДФО,Сахалинская область,56068,Январь
Внесение,ЮЛ,Резидент,ДФО,Сахалинская область,55598,Январь
Выдача,ЮЛ,Резидент,ДФО,Сахалинская область,356276,Январь
Внесение,ФЛ,Нерезидент,ДФО,Хабаровский край,530856,Январь
Выдача,ФЛ,Нерезидент,ДФО,Хабаровский край,,Январь
Внесение,ФЛ,Резидент,ДФО,Хабаровский край,33749,Январь
Выдача,ФЛ,Резидент,ДФО,Хабаровский край,371152,Январь
Внесение,ЮЛ,Резидент,ДФО,Хабаровский край,98527,Январь
Выдача,ЮЛ,Резидент,ДФО,Хабаровский край,445986,Январь
Внесение,ФЛ,Нерезидент,ДФО,Чукотский авт.округ,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Чукотский авт.округ,,Январь
Внесение,ФЛ,Резидент,ДФО,Чукотский авт.округ,3186,Январь
Выдача,ФЛ,Резидент,ДФО,Чукотский авт.округ,420022,Январь
Внесение,ЮЛ,Резидент,ДФО,Чукотский авт.округ,79887,Январь
Выдача,ЮЛ,Резидент,ДФО,Чукотский авт.округ,415687,Январь
Внесение,ФЛ,Нерезидент,ПФО,Республика Башкортостан,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Республика Башкортостан,,Январь
Внесение,ФЛ,Резидент,ПФО,Республика Башкортостан,5590,Январь
Выдача,ФЛ,Резидент,ПФО,Республика Башкортостан,8357,Январь
Внесение,ЮЛ,Резидент,ПФО,Республика Башкортостан,296450,Январь
Выдача,ЮЛ,Резидент,ПФО,Республика Башкортостан,117147,Январь
Внесение,ФЛ,Нерезидент,ПФО,Кировская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Кировская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Кировская область,74113,Январь
Выдача,ФЛ,Резидент,ПФО,Кировская область,128603,Январь
Внесение,ЮЛ,Резидент,ПФО,Кировская область,1847812,Январь
Выдача,ЮЛ,Резидент,ПФО,Кировская область,217430,Январь
Внесение,ФЛ,Нерезидент,ПФО,Республика Марий Эл,183612,Январь
Выдача,ФЛ,Нерезидент,ПФО,Республика Марий Эл,,Январь
Внесение,ФЛ,Резидент,ПФО,Республика Марий Эл,71547,Январь
Выдача,ФЛ,Резидент,ПФО,Республика Марий Эл,73117,Январь
Внесение,ЮЛ,Резидент,ПФО,Республика Марий Эл,966565,Январь
Выдача,ЮЛ,Резидент,ПФО,Республика Марий Эл,148419,Январь
Внесение,ФЛ,Нерезидент,ПФО,Республика Мордовия,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Республика Мордовия,,Январь
Внесение,ФЛ,Резидент,ПФО,Республика Мордовия,27469,Январь
Выдача,ФЛ,Резидент,ПФО,Республика Мордовия,108104,Январь
Внесение,ЮЛ,Резидент,ПФО,Республика Мордовия,486676,Январь
Выдача,ЮЛ,Резидент,ПФО,Республика Мордовия,87982,Январь
Внесение,ФЛ,Нерезидент,ПФО,Нижегородская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Нижегородская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Нижегородская область,673491,Январь
Выдача,ФЛ,Резидент,ПФО,Нижегородская область,8703386,Январь
Внесение,ЮЛ,Резидент,ПФО,Нижегородская область,710370,Январь
Выдача,ЮЛ,Резидент,ПФО,Нижегородская область,158382,Январь
Внесение,ФЛ,Нерезидент,ПФО,Оренбургская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Оренбургская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Оренбургская область,51103,Январь
Выдача,ФЛ,Резидент,ПФО,Оренбургская область,1332667,Январь
Внесение,ЮЛ,Резидент,ПФО,Оренбургская область,39536,Январь
Выдача,ЮЛ,Резидент,ПФО,Оренбургская область,1646218,Январь
Внесение,ФЛ,Нерезидент,ПФО,Пензенская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Пензенская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Пензенская область,2344,Январь
Выдача,ФЛ,Резидент,ПФО,Пензенская область,901984,Январь
Внесение,ЮЛ,Резидент,ПФО,Пензенская область,90855,Январь
Выдача,ЮЛ,Резидент,ПФО,Пензенская область,492025,Январь
Внесение,ФЛ,Нерезидент,ПФО,Пермский край,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Пермский край,,Январь
Внесение,ФЛ,Резидент,ПФО,Пермский край,92026,Январь
Выдача,ФЛ,Резидент,ПФО,Пермский край,937911,Январь
Внесение,ЮЛ,Резидент,ПФО,Пермский край,42634,Январь
Выдача,ЮЛ,Резидент,ПФО,Пермский край,252397,Январь
Внесение,ФЛ,Нерезидент,ПФО,Самарская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Самарская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Самарская область,89776,Январь
Выдача,ФЛ,Резидент,ПФО,Самарская область,303063,Январь
Внесение,ЮЛ,Резидент,ПФО,Самарская область,34074,Январь
Выдача,ЮЛ,Резидент,ПФО,Самарская область,117756,Январь
Внесение,ФЛ,Нерезидент,ПФО,Саратовская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Саратовская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Саратовская область,82969,Январь
Выдача,ФЛ,Резидент,ПФО,Саратовская область,981179,Январь
Внесение,ЮЛ,Резидент,ПФО,Саратовская область,52645,Январь
Выдача,ЮЛ,Резидент,ПФО,Саратовская область,228835,Январь
Внесение,ФЛ,Нерезидент,ПФО,Республика Татарстан,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Республика Татарстан,,Январь
Внесение,ФЛ,Резидент,ПФО,Республика Татарстан,79676,Январь
Выдача,ФЛ,Резидент,ПФО,Республика Татарстан,51966,Январь
Внесение,ЮЛ,Резидент,ПФО,Республика Татарстан,61345,Январь
Выдача,ЮЛ,Резидент,ПФО,Республика Татарстан,329853,Январь
Внесение,ФЛ,Нерезидент,ПФО,Удмуртская Республика,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Удмуртская Республика,,Январь
Внесение,ФЛ,Резидент,ПФО,Удмуртская Республика,18400,Январь
Выдача,ФЛ,Резидент,ПФО,Удмуртская Республика,469845,Январь
Внесение,ЮЛ,Резидент,ПФО,Удмуртская Республика,30491,Январь
Выдача,ЮЛ,Резидент,ПФО,Удмуртская Республика,131070,Январь
Внесение,ФЛ,Нерезидент,ПФО,Ульяновская область,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Ульяновская область,,Январь
Внесение,ФЛ,Резидент,ПФО,Ульяновская область,4838,Январь
Выдача,ФЛ,Резидент,ПФО,Ульяновская область,230098,Январь
Внесение,ЮЛ,Резидент,ПФО,Ульяновская область,8222,Январь
Выдача,ЮЛ,Резидент,ПФО,Ульяновская область,468410,Январь
Внесение,ФЛ,Нерезидент,ПФО,Чувашская Республика,,Январь
Выдача,ФЛ,Нерезидент,ПФО,Чувашская Республика,,Январь
Внесение,ФЛ,Резидент,ПФО,Чувашская Республика,83914,Январь
Выдача,ФЛ,Резидент,ПФО,Чувашская Республика,592957,Январь
Внесение,ЮЛ,Резидент,ПФО,Чувашская Республика,34679,Январь
Выдача,ЮЛ,Резидент,ПФО,Чувашская Республика,2898,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Архангельская область,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Архангельская область,,Январь
Внесение,ФЛ,Резидент,СЗФО,Архангельская область,33954,Январь
Выдача,ФЛ,Резидент,СЗФО,Архангельская область,80155,Январь
Внесение,ЮЛ,Резидент,СЗФО,Архангельская область,48807,Январь
Выдача,ЮЛ,Резидент,СЗФО,Архангельская область,270720,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Вологодская область,390692,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Вологодская область,158635,Январь
Внесение,ФЛ,Резидент,СЗФО,Вологодская область,28446,Январь
Выдача,ФЛ,Резидент,СЗФО,Вологодская область,830437,Январь
Внесение,ЮЛ,Резидент,СЗФО,Вологодская область,1114754,Январь
Выдача,ЮЛ,Резидент,СЗФО,Вологодская область,441288,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Калининградская область,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Калининградская область,,Январь
Внесение,ФЛ,Резидент,СЗФО,Калининградская область,8147,Январь
Выдача,ФЛ,Резидент,СЗФО,Калининградская область,566935,Январь
Внесение,ЮЛ,Резидент,СЗФО,Калининградская область,400027,Январь
Выдача,ЮЛ,Резидент,СЗФО,Калининградская область,138782,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Республика Карелия,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Республика Карелия,,Январь
Внесение,ФЛ,Резидент,СЗФО,Республика Карелия,30300,Январь
Выдача,ФЛ,Резидент,СЗФО,Республика Карелия,819750,Январь
Внесение,ЮЛ,Резидент,СЗФО,Республика Карелия,428636,Январь
Выдача,ЮЛ,Резидент,СЗФО,Республика Карелия,459856,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Республика Коми,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Республика Коми,,Январь
Внесение,ФЛ,Резидент,СЗФО,Республика Коми,367517,Январь
Выдача,ФЛ,Резидент,СЗФО,Республика Коми,6733763,Январь
Внесение,ЮЛ,Резидент,СЗФО,Республика Коми,131511,Январь
Выдача,ЮЛ,Резидент,СЗФО,Республика Коми,493854,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Ленинградская область,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Ленинградская область,,Январь
Внесение,ФЛ,Резидент,СЗФО,Ленинградская область,527,Январь
Выдача,ФЛ,Резидент,СЗФО,Ленинградская область,4346451,Январь
Внесение,ЮЛ,Резидент,СЗФО,Ленинградская область,69547,Январь
Выдача,ЮЛ,Резидент,СЗФО,Ленинградская область,94437,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Мурманская область,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Мурманская область,,Январь
Внесение,ФЛ,Резидент,СЗФО,Мурманская область,63484,Январь
Выдача,ФЛ,Резидент,СЗФО,Мурманская область,624554,Январь
Внесение,ЮЛ,Резидент,СЗФО,Мурманская область,16402,Январь
Выдача,ЮЛ,Резидент,СЗФО,Мурманская область,482389,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Ненецкий авт.округ,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Ненецкий авт.округ,,Январь
Внесение,ФЛ,Резидент,СЗФО,Ненецкий авт.округ,81248,Январь
Выдача,ФЛ,Резидент,СЗФО,Ненецкий авт.округ,953289,Январь
Внесение,ЮЛ,Резидент,СЗФО,Ненецкий авт.округ,81602,Январь
Выдача,ЮЛ,Резидент,СЗФО,Ненецкий авт.округ,321116,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Новгородская область,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Новгородская область,,Январь
Внесение,ФЛ,Резидент,СЗФО,Новгородская область,45733,Январь
Выдача,ФЛ,Резидент,СЗФО,Новгородская область,862585,Январь
Внесение,ЮЛ,Резидент,СЗФО,Новгородская область,49006,Январь
Выдача,ЮЛ,Резидент,СЗФО,Новгородская область,356496,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Псковская область,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Псковская область,,Январь
Внесение,ФЛ,Резидент,СЗФО,Псковская область,32594,Январь
Выдача,ФЛ,Резидент,СЗФО,Псковская область,622878,Январь
Внесение,ЮЛ,Резидент,СЗФО,Псковская область,42792,Январь
Выдача,ЮЛ,Резидент,СЗФО,Псковская область,473919,Январь
Внесение,ФЛ,Нерезидент,СЗФО,Санкт-Петербург,,Январь
Выдача,ФЛ,Нерезидент,СЗФО,Санкт-Петербург,,Январь
Внесение,ФЛ,Резидент,СЗФО,Санкт-Петербург,38646,Январь
Выдача,ФЛ,Резидент,СЗФО,Санкт-Петербург,32270,Январь
Внесение,ЮЛ,Резидент,СЗФО,Санкт-Петербург,96583,Январь
Выдача,ЮЛ,Резидент,СЗФО,Санкт-Петербург,440319,Январь
Внесение,ФЛ,Нерезидент,СКФО,Республика Дагестан,,Январь
Выдача,ФЛ,Нерезидент,СКФО,Республика Дагестан,,Январь
Внесение,ФЛ,Резидент,СКФО,Республика Дагестан,32587,Январь
Выдача,ФЛ,Резидент,СКФО,Республика Дагестан,480169,Январь
Внесение,ЮЛ,Резидент,СКФО,Республика Дагестан,18940,Январь
Выдача,ЮЛ,Резидент,СКФО,Республика Дагестан,25013,Январь
Внесение,ФЛ,Нерезидент,СКФО,Кабардино-Балкарская Республика,,Январь
Выдача,ФЛ,Нерезидент,СКФО,Кабардино-Балкарская Республика,333035,Январь
Внесение,ФЛ,Резидент,СКФО,Кабардино-Балкарская Республика,4780,Январь
Выдача,ФЛ,Резидент,СКФО,Кабардино-Балкарская Республика,852380,Январь
Внесение,ЮЛ,Резидент,СКФО,Кабардино-Балкарская Республика,240117,Январь
Выдача,ЮЛ,Резидент,СКФО,Кабардино-Балкарская Республика,210487,Январь
Внесение,ФЛ,Нерезидент,СКФО,Карачаево-Черкесская Республика,,Январь
Выдача,ФЛ,Нерезидент,СКФО,Карачаево-Черкесская Республика,,Январь
Внесение,ФЛ,Резидент,СКФО,Карачаево-Черкесская Республика,13380,Январь
Выдача,ФЛ,Резидент,СКФО,Карачаево-Черкесская Республика,422235,Январь
Внесение,ЮЛ,Резидент,СКФО,Карачаево-Черкесская Республика,961169,Январь
Выдача,ЮЛ,Резидент,СКФО,Карачаево-Черкесская Республика,454467,Январь
Внесение,ФЛ,Нерезидент,СКФО,Республика Северная Осетия,,Январь
Выдача,ФЛ,Нерезидент,СКФО,Республика Северная Осетия,,Январь
Внесение,ФЛ,Резидент,СКФО,Республика Северная Осетия,363445,Январь
Выдача,ФЛ,Резидент,СКФО,Республика Северная Осетия,2073126,Январь
Внесение,ЮЛ,Резидент,СКФО,Республика Северная Осетия,831809,Январь
Выдача,ЮЛ,Резидент,СКФО,Республика Северная Осетия,221214,Январь
Внесение,ФЛ,Нерезидент,СКФО,Ставропольский край,,Январь
Выдача,ФЛ,Нерезидент,СКФО,Ставропольский край,,Январь
Внесение,ФЛ,Резидент,СКФО,Ставропольский край,20578,Январь
Выдача,ФЛ,Резидент,СКФО,Ставропольский край,4119092,Январь
Внесение,ЮЛ,Резидент,СКФО,Ставропольский край,11922,Январь
Выдача,ЮЛ,Резидент,СКФО,Ставропольский край,240711,Январь
Внесение,ФЛ,Нерезидент,СФО,Республика Алтай,,Январь
Выдача,ФЛ,Нерезидент,СФО,Республика Алтай,,Январь
Внесение,ФЛ,Резидент,СФО,Республика Алтай,11697,Январь
Выдача,ФЛ,Резидент,СФО,Республика Алтай,238154,Январь
Внесение,ЮЛ,Резидент,СФО,Республика Алтай,151317,Январь
Выдача,ЮЛ,Резидент,СФО,Республика Алтай,253229,Январь
Внесение,ФЛ,Нерезидент,СФО,Алтайский край,,Январь
Выдача,ФЛ,Нерезидент,СФО,Алтайский край,,Январь
Внесение,ФЛ,Резидент,СФО,Алтайский край,37554,Январь
Выдача,ФЛ,Резидент,СФО,Алтайский край,760226,Январь
Внесение,ЮЛ,Резидент,СФО,Алтайский край,162763,Январь
Выдача,ЮЛ,Резидент,СФО,Алтайский край,53141,Январь
Внесение,ФЛ,Нерезидент,СФО,Республика Бурятия,,Январь
Выдача,ФЛ,Нерезидент,СФО,Республика Бурятия,,Январь
Внесение,ФЛ,Резидент,СФО,Республика Бурятия,15857,Январь
Выдача,ФЛ,Резидент,СФО,Республика Бурятия,36738,Январь
Внесение,ЮЛ,Резидент,СФО,Республика Бурятия,204709,Январь
Выдача,ЮЛ,Резидент,СФО,Республика Бурятия,418810,Январь
Внесение,ФЛ,Нерезидент,СФО,Забайкальский край,,Январь
Выдача,ФЛ,Нерезидент,СФО,Забайкальский край,,Январь
Внесение,ФЛ,Резидент,СФО,Забайкальский край,53502,Январь
Выдача,ФЛ,Резидент,СФО,Забайкальский край,531859,Январь
Внесение,ЮЛ,Резидент,СФО,Забайкальский край,543424,Январь
Выдача,ЮЛ,Резидент,СФО,Забайкальский край,348767,Январь
Внесение,ФЛ,Нерезидент,СФО,Иркутская область,,Январь
Выдача,ФЛ,Нерезидент,СФО,Иркутская область,,Январь
Внесение,ФЛ,Резидент,СФО,Иркутская область,362536,Январь
Выдача,ФЛ,Резидент,СФО,Иркутская область,7197112,Январь
Внесение,ЮЛ,Резидент,СФО,Иркутская область,560606,Январь
Выдача,ЮЛ,Резидент,СФО,Иркутская область,375696,Январь
Внесение,ФЛ,Нерезидент,СФО,Кемеровская область,,Январь
Выдача,ФЛ,Нерезидент,СФО,Кемеровская область,,Январь
Внесение,ФЛ,Резидент,СФО,Кемеровская область,56912,Январь
Выдача,ФЛ,Резидент,СФО,Кемеровская область,5383578,Январь
Внесение,ЮЛ,Резидент,СФО,Кемеровская область,84663,Январь
Выдача,ЮЛ,Резидент,СФО,Кемеровская область,1161513,Январь
Внесение,ФЛ,Нерезидент,СФО,Красноярский край,,Январь
Выдача,ФЛ,Нерезидент,СФО,Красноярский край,,Январь
Внесение,ФЛ,Резидент,СФО,Красноярский край,44978,Январь
Выдача,ФЛ,Резидент,СФО,Красноярский край,53539,Январь
Внесение,ЮЛ,Резидент,СФО,Красноярский край,40109,Январь
Выдача,ЮЛ,Резидент,СФО,Красноярский край,254375,Январь
Внесение,ФЛ,Нерезидент,СФО,Новосибирская область,668966,Январь
Выдача,ФЛ,Нерезидент,СФО,Новосибирская область,,Январь
Внесение,ФЛ,Резидент,СФО,Новосибирская область,73390,Январь
Выдача,ФЛ,Резидент,СФО,Новосибирская область,564155,Январь
Внесение,ЮЛ,Резидент,СФО,Новосибирская область,66892,Январь
Выдача,ЮЛ,Резидент,СФО,Новосибирская область,109357,Январь
Внесение,ФЛ,Нерезидент,СФО,Омская область,,Январь
Выдача,ФЛ,Нерезидент,СФО,Омская область,,Январь
Внесение,ФЛ,Резидент,СФО,Омская область,99438,Январь
Выдача,ФЛ,Резидент,СФО,Омская область,560977,Январь
Внесение,ЮЛ,Резидент,СФО,Омская область,72902,Январь
Выдача,ЮЛ,Резидент,СФО,Омская область,399342,Январь
Внесение,ФЛ,Нерезидент,СФО,Томская область,,Январь
Выдача,ФЛ,Нерезидент,СФО,Томская область,,Январь
Внесение,ФЛ,Резидент,СФО,Томская область,82551,Январь
Выдача,ФЛ,Резидент,СФО,Томская область,41549,Январь
Внесение,ЮЛ,Резидент,СФО,Томская область,57048,Январь
Выдача,ЮЛ,Резидент,СФО,Томская область,477989,Январь
Внесение,ФЛ,Нерезидент,СФО,Республика Тыва,,Январь
Выдача,ФЛ,Нерезидент,СФО,Республика Тыва,,Январь
Внесение,ФЛ,Резидент,СФО,Республика Тыва,39379,Январь
Выдача,ФЛ,Резидент,СФО,Республика Тыва,573720,Январь
Внесение,ЮЛ,Резидент,СФО,Республика Тыва,11968,Январь
Выдача,ЮЛ,Резидент,СФО,Республика Тыва,425592,Январь
Внесение,ФЛ,Нерезидент,СФО,Республика Хакасия,,Январь
Выдача,ФЛ,Нерезидент,СФО,Республика Хакасия,,Январь
Внесение,ФЛ,Резидент,СФО,Республика Хакасия,47204,Январь
Выдача,ФЛ,Резидент,СФО,Республика Хакасия,778488,Январь
Внесение,ЮЛ,Резидент,СФО,Республика Хакасия,82894,Январь
Выдача,ЮЛ,Резидент,СФО,Республика Хакасия,350774,Январь
Внесение,ФЛ,Нерезидент,УФО,Курганская область,,Январь
Выдача,ФЛ,Нерезидент,УФО,Курганская область,,Январь
Внесение,ФЛ,Резидент,УФО,Курганская область,43814,Январь
Выдача,ФЛ,Резидент,УФО,Курганская область,684369,Январь
Внесение,ЮЛ,Резидент,УФО,Курганская область,4020,Январь
Выдача,ЮЛ,Резидент,УФО,Курганская область,237913,Январь
Внесение,ФЛ,Нерезидент,УФО,Свердловская область,,Январь
Выдача,ФЛ,Нерезидент,УФО,Свердловская область,,Январь
Внесение,ФЛ,Резидент,УФО,Свердловская область,36732,Январь
Выдача,ФЛ,Резидент,УФО,Свердловская область,921610,Январь
Внесение,ЮЛ,Резидент,УФО,Свердловская область,727477,Январь
Выдача,ЮЛ,Резидент,УФО,Свердловская область,225073,Январь
Внесение,ФЛ,Нерезидент,УФО,Тюменская область,,Январь
Выдача,ФЛ,Нерезидент,УФО,Тюменская область,,Январь
Внесение,ФЛ,Резидент,УФО,Тюменская область,43495,Январь
Выдача,ФЛ,Резидент,УФО,Тюменская область,577193,Январь
Внесение,ЮЛ,Резидент,УФО,Тюменская область,475662,Январь
Выдача,ЮЛ,Резидент,УФО,Тюменская область,252740,Январь
Внесение,ФЛ,Нерезидент,УФО,Ханты-мансийский авт.округ,,Январь
Выдача,ФЛ,Нерезидент,УФО,Ханты-мансийский авт.округ,,Январь
Внесение,ФЛ,Резидент,УФО,Ханты-мансийский авт.округ,44565,Январь
Выдача,ФЛ,Резидент,УФО,Ханты-мансийский авт.округ,888038,Январь
Внесение,ЮЛ,Резидент,УФО,Ханты-мансийский авт.округ,163550,Январь
Выдача,ЮЛ,Резидент,УФО,Ханты-мансийский авт.округ,310516,Январь
Внесение,ФЛ,Нерезидент,УФО,Челябинская область,,Январь
Выдача,ФЛ,Нерезидент,УФО,Челябинская область,,Январь
Внесение,ФЛ,Резидент,УФО,Челябинская область,809628,Январь
Выдача,ФЛ,Резидент,УФО,Челябинская область,4624873,Январь
Внесение,ЮЛ,Резидент,УФО,Челябинская область,658789,Январь
Выдача,ЮЛ,Резидент,УФО,Челябинская область,139236,Январь
Внесение,ФЛ,Нерезидент,УФО,Ямало-ненецкий авт.округ,,Январь
Выдача,ФЛ,Нерезидент,УФО,Ямало-ненецкий авт.округ,,Январь
Внесение,ФЛ,Резидент,УФО,Ямало-ненецкий авт.округ,69789,Январь
Выдача,ФЛ,Резидент,УФО,Ямало-ненецкий авт.округ,3891180,Январь
Внесение,ЮЛ,Резидент,УФО,Ямало-ненецкий авт.округ,53253,Январь
Выдача,ЮЛ,Резидент,УФО,Ямало-ненецкий авт.округ,756408,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Белгородская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Белгородская область,425612,Январь
Внесение,ФЛ,Резидент,ЦФО,Белгородская область,41712,Январь
Выдача,ФЛ,Резидент,ЦФО,Белгородская область,328160,Январь
Внесение,ЮЛ,Резидент,ЦФО,Белгородская область,49512,Январь
Выдача,ЮЛ,Резидент,ЦФО,Белгородская область,100978,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Брянская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Брянская область,,Январь
Внесение,ФЛ,Резидент,ЦФО,Брянская область,37389,Январь
Выдача,ФЛ,Резидент,ЦФО,Брянская область,440429,Январь
Внесение,ЮЛ,Резидент,ЦФО,Брянская область,1266048,Январь
Выдача,ЮЛ,Резидент,ЦФО,Брянская область,295709,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Владимирская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Владимирская область,,Январь
Внесение,ФЛ,Резидент,ЦФО,Владимирская область,12329,Январь
Выдача,ФЛ,Резидент,ЦФО,Владимирская область,736383,Январь
Внесение,ЮЛ,Резидент,ЦФО,Владимирская область,652718,Январь
Выдача,ЮЛ,Резидент,ЦФО,Владимирская область,149148,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Воронежская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Воронежская область,,Январь
Внесение,ФЛ,Резидент,ЦФО,Воронежская область,66181,Январь
Выдача,ФЛ,Резидент,ЦФО,Воронежская область,777260,Январь
Внесение,ЮЛ,Резидент,ЦФО,Воронежская область,811311,Январь
Выдача,ЮЛ,Резидент,ЦФО,Воронежская область,183893,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Ивановская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Ивановская область,,Январь
Внесение,ФЛ,Резидент,ЦФО,Ивановская область,400161,Январь
Выдача,ФЛ,Резидент,ЦФО,Ивановская область,2712143,Январь
Внесение,ЮЛ,Резидент,ЦФО,Ивановская область,359290,Январь
Выдача,ЮЛ,Резидент,ЦФО,Ивановская область,160653,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Калужская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Калужская область,,Январь
Внесение,ФЛ,Резидент,ЦФО,Калужская область,28433,Январь
Выдача,ФЛ,Резидент,ЦФО,Калужская область,5634057,Январь
Внесение,ЮЛ,Резидент,ЦФО,Калужская область,71694,Январь
Выдача,ЮЛ,Резидент,ЦФО,Калужская область,76416,Январь
Внесение,ФЛ,Нерезидент,ЦФО,Костромская область,,Январь
Выдача,ФЛ,Нерезидент,ЦФО,Костромская область,,Январь
Внесение,ФЛ,Резидент,ЦФО,Костромская область,17269,Январь
